Index,"Population(000, 2020)","Pop. density(per km2, 2020)",Surface area(km2),Sex ratio(m per 100 f),Region,GDP: Gross domestic product(million current US$),"GDP growth rate(annual %, const. 2015 prices)",GDP per capita(current US$),Employment in agriculture(% of employed),Employment in industry(% of employed),Employment in services(% employed),Unemployment(% of labour force),Labour force participation rate(female/male pop. %),Agricultural production index(2004-2006=100),International trade: exports(million current US$),International trade: imports(million current US$),International trade: balance(million current US$),Population growth rate(average annual %),Urban population(% of total population),Urban population growth rate(average annual %),"Fertility rate, total(live births per woman)","Life expectancy at birth(females/males, years)","Population age distribution(0-14/60+ years old, %)",International migrant stock(000/% of total pop.),Refugees and others of concern to UNHCR(000),Infant mortality rate(per 1 000 live births),Education: Primary gross enrol. ratio(f/m per 100 pop.),Education: Secondary gross enrol. ratio(f/m per 100 pop.),Education: Tertiary gross enrol. ratio(f/m per 100 pop.),Intentional homicide rate(per 100 000 pop.),Seats held by women in national parliaments(%),Individuals using the Internet(per 100 inhabitants),Research & Development expenditure(% of GDP),Forested area(% of land area),"Energy production, primary(Petajoules)",Energy supply per capita(Gigajoules),Important sites for terrestrial biodiversity protected(%),"Pop. using safely managed drinking water(urban/rural, %)",Pop. using safely managed sanitation(urban/rural %),Net Official Development Assist. received(% of GNI),Index,Countries
South America,430760,24.7,17832000,97,Latin America & Caribbean,3701989,-0.2,8745.7,12.5,19.2,68.3,9.7,55.0/76.1,132,503993,450167,53826,0.9,84.4,1.3,1.9,79.1/72.2,22.6/13.7,8220.8/1.9,,14.2,,,,21,26.5,,,48.2,31442,57,,86.9/41.8,36.5/...,0.15,South America,"['Argentina', 'Bolivia', 'Brazil', 'Chile', 'Colombia', 'Ecuador', 'Falkland Islands', 'French Guiana', 'Guyana', 'Paraguay', 'Peru', 'Suriname', 'Uruguay', 'Venezuela']"
Central Asia,74339,18.9,4103000,98.1,Asia,286205,4.7,3972.2,22,26.9,51.1,5.9,51.8/74.2,145,81196,71667,9529,1.6,48.2,1.7,2.8,74.7/68.5,30.5/8.9,5543.4/7.6,,20.6,,,,2.7,25.4,51.3,0.2,3,,,12.6,90.4/52.9,49.0/...,,Central Asia,"['Kazakhstan', 'Kyrgyzstan', 'Tajikistan', 'Turkmenistan', 'Uzbekistan']"
Eastern Asia,1678090,145.2,11799000,104,Asia,21355820,4.7,12816.0,22.6,27.5,49.8,4.2,59.0/74.5,136,4284884,3894237,390648,0.4,63.9,2.4,1.7,80.4/75.3,17.1/18.9,8105.8/0.5,,9.3,101.3/100.2,86.3/84.8,55.4/47.8,0.5,21.6,59.1,2.5,22.2,,,26.2,93.3/...,78.2/56.2,,Eastern Asia,"['China', 'China, Hong Kong SAR', 'China, Macao SAR', 'North Korea', 'Japan', 'Mongolia', 'South Korea']"
South-eastern Asia,668620,154,4495000,99.8,Asia,2974090,5,4538.5,29.8,22.9,47.3,3.1,56.0/79.3,133,1409910,1373529,36381,1.1,49.4,2.5,2.2,75.5/69.5,25.2/11.1,10190.9/1.5,,19.5,105.6/108.2,83.5/81.4,37.8/30.6,2.2,20.4,48.2,1.0,47.8,,,35.6,,,,South-eastern Asia,"['Brunei', 'Cambodia', 'Indonesia', 'Laos', 'Malaysia', 'Myanmar', 'Philippines', 'Singapore', 'Thailand', 'Timorleste', 'Vietnam']"
Southern Asia,1940370,303.2,6688000,106.5,Asia,3949688,5.1,2083.4,40,25.5,34.5,5.4,23.1/76.9,139,413627,650524,- 236 897,1.2,36.2,2.5,2.4,70.7/68.1,27.5/9.5,14083.6/0.7,,35.9,114.8/106.8,69.9/69.7,25.8/25.7,3.1,17.3,33.5,0.6,14.7,,,28.1,58.5/59.9,.../38.7,,Southern Asia,"['Afghanistan', 'Bangladesh', 'Bhutan', 'India', 'Iran', 'Maldives', 'Nepal', 'Pakistan', 'Sri Lanka']"
Western Asia,279637,58.2,4831000,110,Asia,3274077,2.2,12094.7,9,25.8,65.1,8,18.0/77.7,117,1165271,898246,267025,1.6,72,2.7,2.7,77.2/72.1,28.1/8.8,45635.5/16.6,,18,93.5/99.5,80.1/88.6,55.5/57.1,3.4,15.6,67.6,0.6,4.1,,,17,,64.0/...,7.51,Western Asia,"['Armenia', 'Azerbaijan', 'Bahrain', 'Cyprus', 'Georgia', 'Iraq', 'Israel', 'Jordan', 'Kuwait', 'Lebanon', 'Oman', 'Qatar', 'Saudi Arabia', 'Palestine', 'Syria', 'Turkey', 'United Arab Emirates', 'Yemen']"
Eastern Europe,293013,16.2,18814000,88.8,Europe,3262795,3.2,11105.9,8.4,28.2,63.4,4.7,51.3/67.0,127,1286023,1120392,165631,-0.1,69.8,~0.0,1.7,78.4/69.0,17.0/23.7,20278.7/6.9,,5.5,,,,5.5,22.4,,,47.7,,,,,61.4/...,,Eastern Europe,"['Belarus', 'Bulgaria', 'Czechia', 'Hungary', 'Poland', 'Moldova', 'Romania', 'Russia', 'Slovakia', 'Ukraine']"
Northern Europe,106261,62.4,1810000,97.6,Europe,5005288,2.1,47699.4,1.7,18.5,79.8,,57.9/67.6,106,1157774,1289321,- 131 546,0.5,82.4,0.9,1.7,83.1/78.9,17.5/24.8,15094.9/14.3,,3.3,,,,1.3,36.4,,,44,,,,,96.5/72.4,,Northern Europe,"['Channel Islands', 'Denmark', 'Estonia', 'Faroe Islands', 'Finland', 'Iceland', 'Ireland', 'Isle of Man', 'Latvia', 'Lithuania', 'Norway', 'Sweden', 'United Kingdom']"
Southern Europe,152215,117.5,1317000,95.5,Europe,4209516,1.6,27584.7,6.1,23.4,70.5,11.3,45.9/60.9,99,1070693,1134330,- 63 637,-0.1,71.8,0.2,1.4,84.5/79.5,13.9/27.9,16503.6/10.8,,3.1,,,,0.7,33.3,,,35.2,,,,,85.2/65.4,,Southern Europe,"['Albania', 'Andorra', 'Bosnia and Herzegovina', 'Croatia', 'Gibraltar', 'Greece', 'Vatican City', 'Italy', 'Malta', 'Montenegro', 'North Macedonia', 'Portugal', 'San Marino', 'Serbia', 'Slovenia', 'Spain']"
Western Europe,196146,180.8,1108000,96.6,Europe,9431125,1.8,47884.7,1.8,22.9,75.3,5,53.9/64.3,103,3586278,3308808,277470,0.4,80,0.6,1.7,84.2/79.2,15.6/27.4,30427.3/15.6,,3.1,,,,1,35.8,,,32,,,,,98.4/85.9,,Western Europe,"['Austria', 'Belgium', 'France', 'Germany', 'Liechtenstein', 'Luxembourg', 'Monaco', 'Netherlands', 'Switzerland']"
Australia and New Zealand,30322,3.8,8012000,98.8,Oceania,1661791.0,2.1,56063.4,,,,,,108.0,305917.0,263753.0,42164.0,1.2,86.2,1.5,1.8,85.0/81.1,19.3/21.8,8618.0/28.7,,3.2,,,,0.9,35.1,86.9,1.8,17,,,53,96.5/...,,,Australia and New Zealand,"['Australia', 'New Zealand']"
Melanesia,11123,21,541000,104,Oceania,40948.0,1.0,3821.4,,,,,,119.0,15271.0,9368.0,5903.0,1.9,19.5,2.2,3.5,66.8/64.1,34.7/6.5,123.6/1.1,,37.5,,,,,4.9,,,71.8,,,,,,,Melanesia,"['Fiji', 'New Caledonia', 'Papua New Guinea', 'Solomon Islands', 'Vanuatu']"
Micronesia,549,173.2,3000,102.1,Oceania,1185,1.2,3755.4,,,,,,76,1949,6536,- 4 587,1,69,1,2.9,76.3/70.2,29.3/10.9,118.0/21.7,,25,,,,,7,,,58,,,,89.5/...,,24.76,Micronesia,"['Guam', 'Kiribati', 'Marshall Islands', 'Micronesia', 'Nauru', 'Northern Mariana Islands', 'Palau']"
Polynesia,684,84.5,8000,102.9,Oceania,7846,2.3,12947.1,,,,,,117,189,3004,- 2 815,0.5,44.4,0.6,2.8,76.9/72.7,29.2/11.2,68.4/10.1,,12,,,,,8.6,,,48.7,,,,,.../46.2,,Polynesia,"['American Samoa', 'Cook Islands', 'French Polynesia', 'Niue', 'Samoa', 'Tokelau', 'Tonga', 'Tuvalu', 'Wallis and Futuna Islands']"
